accountsapid,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Final_Churn,Final_churn_ProbabilityScore
800840.0,0,0,1,0,0,0,0.5099697610051751
249891.0,1,0,1,1,1,0,0.0004779882488229939
1008896.0,1,0,0,1,0,1,0.9999911705330188
807635.0,1,1,0,1,2,1,0.9871519179821018
148496.0,0,1,0,1,0,1,0.9972721653199209
165507.0,1,0,0,1,0,1,0.999801477303705
225423.0,1,1,0,1,1,0,1.9283124045170072e-05
1015759.0,0,1,0,1,0,1,0.9989879916693841
780171.0,1,1,1,0,1,0,0.029295417753666387
228464.0,1,1,1,0,2,1,0.2553740363914106
1016757.0,0,1,0,1,0,1,0.997175936342871
804523.0,1,1,1,0,1,0,0.05025430465029098
189832.0,1,1,1,0,1,0,0.0875058052419819
159586.0,1,0,0,1,0,1,0.9999979340807444
809589.0,1,1,1,0,1,0,0.06607620392021821
1020977.0,0,0,1,0,0,0,0.5199542438092024
1018450.0,0,1,1,0,1,0,0.012382914340886524
1017054.0,0,1,0,1,0,1,0.9842683448131102
145237.0,0,1,0,1,0,1,0.9986199084840208
1020911.0,0,1,0,1,0,1,0.9477347835551984
1015910.0,0,1,0,1,0,1,0.9131118379027727
165331.0,1,1,1,0,1,0,0.1964581478186453
806415.0,0,0,1,0,2,1,0.07001756202072199
1021143.0,0,0,1,0,1,0,5.247201602611163e-05
1016332.0,0,1,0,1,2,1,0.9613271415201514
1020541.0,0,1,1,0,2,1,0.11330393238076573
1020020.0,0,1,0,1,0,1,0.999566932517983
1019137.0,0,1,0,1,1,0,0.3894945089218277
1017267.0,0,1,0,1,0,1,0.999241266364368
1017053.0,0,1,0,1,0,1,0.9995693639724876
203323.0,1,1,1,0,1,0,0.034007532576008026
1020443.0,0,1,0,1,0,1,0.9987143008575803
158926.0,1,1,1,0,1,0,0.3328306833996919
155943.0,1,1,1,0,2,1,0.6571103055748717
1002360.0,1,1,0,1,2,1,0.9256232242278821
