accountsapid,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Final_Churn,Final_churn_ProbabilityScore
1023102.0,0,0,1,0,0,0,0.0
802790.0,1,1,1,0,1,0,0.3234468754742342
800840.0,0,0,1,0,0,0,0.0
148534.0,0,0,1,0,0,0,0.0
162221.0,1,0,1,1,1,0,0.013117647058823529
1002608.0,1,1,0,1,2,1,0.9996428571428573
1022750.0,0,0,1,0,0,0,0.0
1003402.0,1,1,0,1,2,1,0.9247672043476449
1012595.0,1,0,0,1,0,1,1.0
1021809.0,0,0,1,0,0,0,0.0
859966.0,1,0,0,1,0,1,1.0
824798.0,1,1,0,1,1,0,0.0
1019873.0,0,1,0,1,0,1,1.0
260317.0,1,1,0,1,2,1,0.988
207174.0,1,1,0,1,1,0,0.0
873451.0,0,1,0,1,0,1,1.0
1017730.0,0,1,1,0,1,0,0.01573884074470244
821875.0,0,1,0,1,0,1,1.0
835599.0,1,1,0,1,1,0,0.4624407663511502
218253.0,1,1,1,0,2,1,0.33063366890413887
153330.0,1,1,0,1,1,0,0.0
844448.0,1,1,1,0,1,0,0.33063366890413887
708807.0,0,1,0,1,0,1,1.0
169922.0,1,1,0,1,2,1,1.0
1001876.0,1,1,1,0,1,0,0.3063224381130819
141616.0,1,0,1,1,1,0,0.0
247141.0,1,0,0,1,0,1,1.0
1022449.0,0,0,1,0,0,0,0.0
